Klasa,Wavelength_um,A_Mean,A_Sigma,A_Mean_minus_sigma,A_Mean_plus_sigma,B_Mean,B_Sigma,B_Mean_minus_sigma,B_Mean_plus_sigma,C_Mean,C_Sigma,C_Mean_minus_sigma,C_Mean_plus_sigma,D_Mean,D_Sigma,D_Mean_minus_sigma,D_Mean_plus_sigma,K_Mean,K_Sigma,K_Mean_minus_sigma,K_Mean_plus_sigma,L_Mean,L_Sigma,L_Mean_minus_sigma,L_Mean_plus_sigma,O_Mean,O_Sigma,O_Mean_minus_sigma,O_Mean_plus_sigma,S_Mean,S_Sigma,S_Mean_minus_sigma,S_Mean_plus_sigma,V_Mean,V_Sigma,V_Mean_minus_sigma,V_Mean_plus_sigma,X_Mean,X_Sigma,X_Mean_minus_sigma,X_Mean_plus_sigma
C,0.7,,,,,,,,,1.00298815,0.015514349999999996,0.9874738,1.0185024999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.75,,,,,,,,,1.004928507142857,0.018120421428571426,0.9868080857142857,1.0230489285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.8,,,,,,,,,1.0032808333333334,0.020172426666666667,0.9831084066666668,1.0234532600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.85,,,,,,,,,1.0003725,0.02202976,0.9783427400000001,1.02240226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.9,,,,,,,,,0.9974641666666667,0.02388709333333333,0.9735770733333333,1.02135126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.95,,,,,,,,,0.9945558333333334,0.025744426666666664,0.9688114066666668,1.0203002600000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.0,,,,,,,,,0.9916475,0.02760176,0.96404574,1.01924926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.05,,,,,,,,,0.9887391666666667,0.029459093333333332,0.9592800733333334,1.0181982600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.1,,,,,,,,,0.9858308333333334,0.03131642666666667,0.9545144066666668,1.01714726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.15,,,,,,,,,0.9829225,0.03317376,0.94974874,1.01609626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.2,,,,,,,,,0.9800141666666667,0.03503109333333333,0.9449830733333334,1.0150452600000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,0.45,,,,,,,,,,,,,0.8491570342465754,0.03471237671232877,0.8144446575342467,0.8838694109589041,,,,,,,,,,,,,,,,,,,,,,,,
D,0.5,,,,,,,,,,,,,0.8927532671232877,0.030820938356164382,0.8619323287671233,0.9235742054794521,,,,,,,,,,,,,,,,,,,,,,,,
D,0.55,,,,,,,,,,,,,0.9363495000000001,0.026929499999999995,0.9094200000000001,0.963279,,,,,,,,,,,,,,,,,,,,,,,,
D,0.6,,,,,,,,,,,,,0.9799457328767123,0.023038061643835615,0.9569076712328767,1.002983794520548,,,,,,,,,,,,,,,,,,,,,,,,
D,0.65,,,,,,,,,,,,,1.0204164357142858,0.028384678571428575,0.9920317571428572,1.0488011142857143,,,,,,,,,,,,,,,,,,,,,,,,
D,0.7,,,,,,,,,,,,,1.05822465,0.041600749999999985,1.0166239000000001,1.0998254,,,,,,,,,,,,,,,,,,,,,,,,
D,0.75,,,,,,,,,,,,,1.0960328642857142,0.05481682142857143,1.0412160428571429,1.1508496857142856,,,,,,,,,,,,,,,,,,,,,,,,
D,0.8,,,,,,,,,,,,,1.13024748,0.06818429333333334,1.0620631866666665,1.1984317733333334,,,,,,,,,,,,,,,,,,,,,,,,
